Away_Abbr,Home_Abbr,Odds_Away,Odds_Home
SAC,PHI,3.5,1.12
MIL,WAS,1.58,1.86
MIA,CHI,1.7,1.73
HOU,ATL,1.48,2.0
CHO,DAL,1.45,2.07
BRK,DEN,2.7,1.25
DET,PHO,1.42,2.15
OKC,MIN,1.32,2.4
