Away_Abbr,Home_Abbr,Odds_Away,Odds_Home
PHI,MIA,1.56,1.88
BOS,ATL,1.76,1.66
PHO,MEM,,
CHI,SAS,,
MIN,DAL,1.28,2.55
CLE,UTA,,
DET,OKC,,
WAS,LAL,,
