Away_Abbr,Home_Abbr,Odds_Away,Odds_Home
GSW,PHI,2.0,1.48
BOS,WAS,1.16,3.2
UTA,BRK,1.43,2.1
LAL,TOR,1.82,1.62
MIN,NOP,,
