Away_Abbr,Home_Abbr,Odds_Away,Odds_Home
TOR,CHO,1.56,1.88
CHI,DET,3.3,1.15
WAS,PHI,3.5,1.12
DEN,BOS,3.1,1.18
NOP,ATL,3.3,1.15
ORL,BRK,1.6,1.85
LAC,NYK,2.3,1.35
PHO,MEM,1.42,2.15
UTA,OKC,,
LAL,SAS,2.7,1.25
MIL,GSW,2.5,1.3
HOU,POR,1.28,2.55
