Away_Abbr,Home_Abbr,Odds_Away,Odds_Home
DEN,DET,2.07,1.45
UTA,IND,2.0,1.48
NYK,WAS,,
LAL,BRK,1.2,2.95
ATL,MIA,2.1,1.43
BOS,DAL,1.26,2.6
CHI,MIL,1.5,1.96
ORL,OKC,2.55,1.28
PHI,GSW,1.85,1.6
PHO,POR,1.48,2.0
