game_id,game_date,season_year,team,opponent,pace,off_rtg,def_rtg,net_rtg,tov_rate,orb_pct,location,Before_Game_Avg_pace,Before_Game_Avg_off_rtg,Before_Game_Avg_def_rtg,Before_Game_Avg_net_rtg,Before_Game_Avg_tov_rate,Before_Game_Avg_orb_pct
20151027_DET_at_ATL,2015-10-27,2016,ATL,DET,98.02,95.89879616404816,108.14119567435219,-12.242399510304026,15.302999387880027,0.16279069767441862,Home,0.0,0.0,0.0,0.0,0.0,0.0
20151029_ATL_at_NYK,2015-10-29,2016,ATL,NYK,105.34,106.32238465919879,95.88000759445605,10.442377064742743,15.188912094171256,0.1794871794871795,Away,98.02,95.89879616404816,108.14119567435219,-12.242399510304026,15.302999387880027,0.16279069767441862
20151030_CHO_at_ATL,2015-10-30,2016,ATL,CHO,100.2,96.80638722554889,93.81237524950099,2.9940119760479007,14.97005988023952,0.16326530612244897,Home,101.68,101.11059041162348,102.01060163440411,-0.9000112227806412,15.245955741025641,0.17113893858079904
20151101_ATL_at_CHO,2015-11-01,2016,ATL,CHO,95.88,98.03921568627452,95.95327492699208,2.085940759282437,11.4726741760534,0.2,Away,101.18666666666667,99.67585601626529,99.27785950610307,0.3979965101622061,15.153990454096935,0.16851439442801572
20151103_ATL_at_MIA,2015-11-03,2016,ATL,MIA,99.36000000000001,98.63123993558774,92.59259259259258,6.038647342995162,16.103059581320448,0.3076923076923077,Away,99.86,99.2666959337676,98.44671336132532,0.8199825724422638,14.23366138458605,0.17638579582101177
20151104_BRK_at_ATL,2015-11-04,2016,ATL,BRK,94.64,106.72020287404902,91.92730346576501,14.792899408284015,15.84953508030431,0.17142857142857143,Home,99.76,99.13960473413162,97.27588920757879,1.8637155265528436,14.60754102393293,0.20264709819527096
20151106_ATL_at_NOP,2015-11-06,2016,ATL,NOP,101.48,119.23531730390225,113.32282223098147,5.912495072920777,14.781237682301931,0.1875,Away,98.90666666666668,100.40303775745117,96.38445825060982,4.018579506841372,14.814540033328159,0.19744401040082105
20151107_WAS_at_ATL,2015-11-07,2016,ATL,WAS,102.53999999999999,111.17612638970158,96.54768870684612,14.628437682855463,13.65320850399844,0.23255813953488372,Home,99.27428571428572,103.09336340694419,98.80422453352006,4.289138873424144,14.809782554610127,0.19602343748641804
20151109_MIN_at_ATL,2015-11-09,2016,ATL,MIN,101.38,105.54349970408366,115.40737818110081,-9.863878477017153,16.768593410929178,0.1111111111111111,Home,99.6825,104.10370877978887,98.52215755518581,5.581551224603059,14.665210798283667,0.20059027524247625
20151111_NOP_at_ATL,2015-11-11,2016,ATL,NOP,99.32,106.72573499798632,98.6709625453081,8.054772452678222,13.089005235602095,0.2,Home,99.87111111111112,104.26368554915496,100.39829318028747,3.86539236886748,14.898919977466502,0.1906481458945468
20151113_ATL_at_BOS,2015-11-13,2016,ATL,BOS,99.03999999999999,93.90145395799678,107.0274636510501,-13.12600969305332,17.164781906300487,0.13157894736842105,Away,99.816,104.50989049403809,100.22556011678954,4.284330377248554,14.71792850328006,0.1915833313050921
20151115_UTA_at_ATL,2015-11-15,2016,ATL,UTA,91.98,104.37051532941943,105.45770819743423,-1.087192868014796,16.307893020221787,0.21052631578947367,Home,99.74545454545455,103.5454871725798,100.84391498354051,2.7015721890392927,14.940369721736461,0.18612838731084927
20151117_ATL_at_BRK,2015-11-17,2016,ATL,BRK,93.44,94.17808219178082,96.31849315068493,-2.1404109589041127,21.404109589041095,0.18604651162790697,Away,99.09833333333334,103.6142395189831,101.22839775136498,2.385841767618119,15.05432999661024,0.18816154801740134
20151118_SAC_at_ATL,2015-11-18,2016,ATL,SAC,100.74000000000001,102.24339884852094,96.28747270200515,5.955926146515793,11.911852293031565,0.23529411764705882,Home,98.66307692307691,102.88838126304447,100.8507127820819,2.0376684809625627,15.542774580643384,0.18799885291051716
20151121_ATL_at_CLE,2015-11-21,2016,ATL,CLE,96.68,100.33098882912701,112.74306992139014,-12.412081092263136,12.412081092263136,0.23076923076923078,Away,98.81142857142856,102.84231109057849,100.52476706207642,2.317544028502079,15.28342298867111,0.19137708610598442
20151124_BOS_at_ATL,2015-11-24,2016,ATL,BOS,102.56,117.97971918876755,94.57878315132605,23.400936037441497,20.47581903276131,0.20689655172413793,Home,98.66933333333333,102.67488960648173,101.33932058603067,1.3355690204510646,15.092000195577246,0.19400322908353415
20151125_ATL_at_MIN,2015-11-25,2016,ATL,MIN,98.58000000000001,96.36843173057414,100.42604990870359,-4.057618178129445,14.201663623453031,0.2830188679245283,Away,98.9125,103.63144145537458,100.91678699636162,2.7146544590129666,15.42848887290125,0.1948090617485719
20151127_ATL_at_MEM,2015-11-27,2016,ATL,MEM,96.53999999999999,120.15744769007665,104.61984669567019,15.53760099440646,10.358400662937644,0.15789473684210525,Away,98.89294117647059,103.20420558920986,100.88792010885233,2.316285480357531,15.356322681757236,0.1999978738765693
20151128_ATL_at_SAS,2015-11-28,2016,ATL,SAS,98.25999999999999,89.55831467535111,109.91247710156729,-20.354162426216178,18.31874618359455,0.24489795918367346,Away,98.76222222222222,104.14605237259134,101.09524936367555,3.0508030089158047,15.078660347378369,0.197658810707988
