Away_Abbr,Home_Abbr,Odds_Away,Odds_Home
CHO,ORL,2.5,1.3
HOU,PHI,1.62,1.82
DEN,WAS,1.33,2.35
GSW,DAL,1.42,2.15
CHI,MIN,3.2,1.16
SAS,UTA,,
LAL,LAC,1.75,1.68
MIA,POR,1.76,1.66
