Away_Abbr,Home_Abbr,Odds_Away,Odds_Home
DEN,NYK,2.5,1.3
MIN,TOR,1.62,1.82
BOS,HOU,2.3,1.35
NOP,MIL,1.4,2.2
OKC,SAS,1.63,1.8
MEM,SAC,1.76,1.66
CLE,LAC,1.6,1.85
