Away_Abbr,Home_Abbr,Odds_Away,Odds_Home
HOU,DET,2.25,1.38
PHO,ATL,1.52,1.94
BOS,BRK,1.18,3.1
SAC,CLE,,
NOP,MEM,2.35,1.33
IND,OKC,,
DEN,MIL,2.35,1.33
TOR,POR,1.46,2.05
