Away_Abbr,Home_Abbr,Odds_Away,Odds_Home
WAS,DET,,
BRK,ORL,3.4,1.13
UTA,ATL,3.2,1.16
CHI,TOR,2.95,1.2
CHO,HOU,1.94,1.52
SAS,DAL,1.26,2.6
GSW,PHO,2.55,1.28
PHI,LAL,2.07,1.45
