Away_Abbr,Home_Abbr,Odds_Away,Odds_Home
TOR,IND,1.55,1.9
CLE,PHI,1.76,1.66
UTA,CHI,1.94,1.52
BRK,NOP,1.6,1.85
DEN,DAL,1.7,1.73
NYK,SAC,,
WAS,LAC,,
