Away_Abbr,Home_Abbr,Odds_Away,Odds_Home
ORL,MIN,2.55,1.28
BRK,DET,,
PHI,ATL,2.55,1.28
LAC,MEM,1.25,2.7
UTA,MIL,3.3,1.15
GSW,OKC,,
