Away_Abbr,Home_Abbr,Odds_Away,Odds_Home
MIA,BOS,2.55,1.28
PHI,NYK,2.2,1.4
SAS,ATL,1.58,1.86
CHI,CLE,2.7,1.25
OKC,MIN,1.22,2.85
