game_id,date,Season_Year,Team_Abbr,Opp_Abbr,pts,opp_pts,Win,margin,dnp,location,win_cumsum,games_played,Before_Game_Win_Pct,Before_Game_Total_Games,margin_cumsum,Before_Game_Avg_Margin,win_home,games_home,win_away,games_away,Before_Home_Win_Pct,Before_Away_Win_Pct,Before_Game_Win_Pct_Last_5,Before_Game_Win_Pct_Last_10,Before_Game_Avg_Margin_Last_5,Before_Game_Streak,prev_date,Days_Since_Last_Game,CS_Win_Pct_L5,CS_Avg_Margin_L5,Before_Game_H2H_Win_Pct_L5,Before_Game_H2H_Avg_Margin_L5,Total_Injury_Impact,Opp_Before_Game_Win_Pct,Opp_Before_Home_Win_Pct,Opp_Before_Away_Win_Pct,Opp_Before_Game_Avg_Margin,Opp_Before_Game_Streak,Opp_Before_Game_Win_Pct_Last_5,Opp_Before_Game_Win_Pct_Last_10,Opp_Before_Game_Avg_Margin_Last_5,Opp_CS_Win_Pct_L5,Opp_CS_Avg_Margin_L5,Opp_Before_Game_H2H_Win_Pct_L5,Opp_Before_Game_H2H_Avg_Margin_L5,Opp_Total_Injury_Impact,Opp_Days_Since_Last_Game,Opp_Before_Game_Total_Games,Diff_Before_Home_Win_Pct,Diff_Before_Away_Win_Pct,Diff_Days_Since_Last_Game,Diff_Before_Game_Streak,Diff_Before_Game_Win_Pct_Last_5,Diff_Before_Game_Avg_Margin_Last_5,Diff_Before_Game_Win_Pct_Last_10,Diff_CS_Win_Pct_L5,Diff_CS_Avg_Margin_L5,Diff_Before_Game_H2H_Win_Pct_L5,Diff_Before_Game_H2H_Avg_Margin_L5,Diff_Total_Injury_Impact,Before_Game_Avg_Pace,Before_Game_Avg_OffRtg,Before_Game_Avg_DefRtg,Before_Game_Avg_NetRtg,Before_Game_Avg_TOV_Rate,Before_Game_Avg_ORB_Pct,Opp_Before_Game_Avg_Pace,Opp_Before_Game_Avg_OffRtg,Opp_Before_Game_Avg_DefRtg,Opp_Before_Game_Avg_NetRtg,Opp_Before_Game_Avg_TOV_Rate,Opp_Before_Game_Avg_ORB_Pct,Diff_Before_Game_Avg_Pace,Diff_Before_Game_Avg_OffRtg,Diff_Before_Game_Avg_DefRtg,Diff_Before_Game_Avg_NetRtg,Diff_Before_Game_Avg_TOV_Rate,Diff_Before_Game_Avg_ORB_Pct
20151124_BOS_at_ATL,2015-11-24,2016,ATL,BOS,121,97,1,24,"Tiago Splitter, Kent Bazemore",Home,10,16,0.6,15.0,45,1.4,1,1,0,0,0.625,0.5714285714285714,0.2,0.5,-4.4,-1,2015-11-21,3.0,0.2,-4.4,0.0,-13.0,0.1674151282284424,0.5384615384615384,0.5,0.6,5.923076923076923,-1,0.6,0.6,8.4,0.6,8.4,0.75,7.5,0.1162647664922739,2.0,13.0,0.125,-0.0285714285714285,1.0,0,-0.3999999999999999,-12.8,-0.0999999999999999,-0.3999999999999999,-12.8,-0.75,-20.5,0.0511503617361684,98.66933333333331,102.67488960648171,101.33932058603068,1.3355690204510646,15.092000195577246,0.1940032290835341,101.55384615384617,102.20170599741516,96.3509498636359,5.850756133779271,16.065331364548534,0.2714465302809208,-2.884512820512853,0.4731836090665524,4.988370722394777,-4.515187113328206,-0.9733311689712884,-0.0774433011973867
20160409_BOS_at_ATL,2016-04-09,2016,ATL,BOS,118,107,1,11,"Tiago Splitter, Edy Tavares, Lamar Patterson",Home,48,80,0.5949367088607594,79.0,322,3.9367088607594938,1,1,0,0,0.65,0.5384615384615384,0.6,0.7,2.6,2,2016-04-07,2.0,0.6,2.6,0.6666666666666666,6.333333333333333,0.0997554111733842,0.5949367088607594,0.6923076923076923,0.5,3.518987341772152,4,0.8,0.8,5.0,0.8,5.0,0.5,0.5,0.0252382879707098,1.0,79.0,-0.0423076923076922,0.0384615384615384,1.0,-2,-0.2,-2.4,-0.1,-0.2,-2.4,0.1666666666666666,5.833333333333333,0.0745171232026744,99.9967088607595,102.86691663275585,98.90299681317929,3.963919819576563,14.808492988907268,0.1876209374550848,101.77721518987342,103.99025509665351,100.59951778359272,3.390737313060796,13.568554422141863,0.2495485613651128,-1.7805063291139192,-1.1233384638976671,-1.696520970413431,0.5731825065157667,1.2399385667654048,-0.061927623910028
20170113_BOS_at_ATL,2017-01-13,2017,ATL,BOS,101,103,0,-2,"Tiago Splitter, Mo Williams",Home,22,39,0.5789473684210527,38.0,1,0.0789473684210526,0,1,0,0,0.5882352941176471,0.5714285714285714,1.0,0.8,12.2,7,2017-01-10,3.0,1.0,12.2,0.75,7.5,0.0382087053571428,0.6153846153846154,0.6666666666666666,0.5714285714285714,2.282051282051282,1,0.8,0.7,5.0,0.8,5.0,0.25,-7.5,0.2350464899886458,2.0,39.0,-0.0784313725490195,0.0,1.0,6,0.1999999999999999,7.199999999999999,0.1,0.1999999999999999,7.199999999999999,0.5,15.0,-0.196837784631503,100.50210526315789,102.12262189554278,102.20991919234754,-0.0872972968047648,15.470586377692008,0.240256981663623,98.8148717948718,108.31102780576984,106.04866737774522,2.2623604280246385,12.763529451227912,0.2128880494957211,1.687233468286081,-6.188405910227061,-3.8387481853976766,-2.3496577248294037,2.707056926464096,0.0273689321679019
20170406_BOS_at_ATL,2017-04-06,2017,ATL,BOS,123,116,1,7,"Kris Humphries, Thabo Sefolosha",Home,40,78,0.5064935064935064,77.0,-94,-1.3116883116883118,1,1,0,0,0.5263157894736842,0.4871794871794871,0.4,0.2,-3.0,-2,2017-04-02,4.0,0.4,-3.0,0.8,11.4,0.1439580987046152,0.6410256410256411,0.717948717948718,0.5641025641025641,2.423076923076923,-1,0.6,0.7,-1.0,0.6,-1.0,0.2,-11.4,0.1100106501919038,1.0,78.0,-0.1916329284750337,-0.0769230769230769,3.0,-1,-0.1999999999999999,-2.0,-0.4999999999999999,-0.1999999999999999,-2.0,0.6000000000000001,22.8,0.0339474485127114,100.83558441558442,101.88226178651342,103.28999019207212,-1.407728405558693,15.686561550620032,0.2352079447774072,99.5448717948718,108.17239087895976,105.74196985536848,2.430421023591247,13.41786092600676,0.2107928671035102,1.2907126207126254,-6.290129092446335,-2.451979663296356,-3.83814942914994,2.268700624613272,0.024415077673897
20171106_BOS_at_ATL,2017-11-06,2018,ATL,BOS,107,110,0,-3,"Miles Plumlee, DeAndre' Bembry, Mike Muscala, Josh Magette, Ersan İlyasova",Home,2,11,0.2,10.0,-82,-7.9,0,1,0,0,0.0,0.2857142857142857,0.2,0.2,-7.8,1,2017-11-05,1.0,0.2,-7.8,0.8,8.0,0.2684799221407587,0.8,0.75,0.8333333333333334,9.7,8,1.0,0.8,14.0,1.0,14.0,0.2,-8.0,0.1031781690928898,1.0,10.0,-0.75,-0.5476190476190477,0.0,-7,-0.8,-21.8,-0.6000000000000001,-0.8,-21.8,0.6000000000000001,16.0,0.1653017530478689,102.97,99.79100465635211,107.3728584581439,-7.581853801791786,14.921704142054722,0.1950823365308026,98.234,104.94951496338643,94.89232108078583,10.057193882600597,14.87121166236889,0.2463485571077049,4.736000000000004,-5.15851030703432,12.48053737735806,-17.63904768439238,0.0504924796858325,-0.0512662205769023
20171118_BOS_at_ATL,2017-11-18,2018,ATL,BOS,99,110,0,-11,"Miles Plumlee, Tyler Dorsey, Nicolás Brussino, Isaiah Taylor, Josh Magette",Home,3,16,0.2,15.0,-74,-4.2,0,1,0,0,0.2,0.2,0.2,0.2,3.2,1,2017-11-15,3.0,0.2,3.2,0.6,5.8,0.1485006671501494,0.875,0.875,0.875,7.875,14,1.0,1.0,5.2,1.0,5.2,0.4,-5.8,0.0121597339320991,2.0,16.0,-0.675,-0.675,1.0,-13,-0.8,-2.0,-0.8,-0.8,-2.0,0.1999999999999999,11.6,0.1363409332180503,101.48933333333336,102.87794563405912,106.74108759410709,-3.863141960047951,15.95097863379737,0.2105910892396601,98.935,103.26311837699453,95.20932190849273,8.053796468501815,14.615019890313164,0.2394146064750247,2.5543333333333607,-0.3851727429354099,11.53176568561436,-11.916938428549766,1.3359587434842055,-0.0288235172353645
20181123_BOS_at_ATL,2018-11-23,2019,ATL,BOS,96,114,0,-18,"Tyler Dorsey, Daniel Hamilton, Jaylen Adams, Alex Poythress",Home,3,19,0.1666666666666666,18.0,-219,-11.166666666666666,0,1,0,0,0.25,0.1,0.0,0.1,-16.8,-9,2018-11-21,2.0,0.0,-16.8,0.4,-2.0,0.1179105169643041,0.5,0.625,0.4,1.8333333333333333,-3,0.4,0.3,2.2,0.4,2.2,0.6,2.0,0.3166209326000223,2.0,18.0,-0.375,-0.3,0.0,-6,-0.4,-19.0,-0.1999999999999999,-0.4,-19.0,-0.1999999999999999,-4.0,-0.1987104156357182,108.40777777777777,99.1515376030519,109.37823284855698,-10.226695245505072,16.518034175024862,0.2072330081748398,102.68111111111112,103.1361832010209,101.53057153051914,1.6056116705017531,12.910403421944828,0.2130633492940614,5.726666666666645,-3.984645597968992,7.8476613180378365,-11.832306916006823,3.607630753080034,-0.0058303411192215
20190119_BOS_at_ATL,2019-01-19,2019,ATL,BOS,105,113,0,-8,"Alex Poythress, Miles Plumlee, Jaylen Adams, Kent Bazemore",Home,14,45,0.3181818181818182,44.0,-357,-7.931818181818182,0,1,0,0,0.4210526315789473,0.24,0.4,0.4,-4.0,1,2019-01-15,4.0,0.4,-4.0,0.2,-10.6,0.2580226117569917,0.6,0.7727272727272727,0.4347826086956521,6.111111111111111,2,0.4,0.6,-2.0,0.4,-2.0,0.8,10.6,0.1397975753891856,1.0,45.0,-0.3516746411483253,-0.1947826086956521,3.0,-1,0.0,-2.0,-0.1999999999999999,0.0,-2.0,-0.6000000000000001,-21.2,0.118225036367806,107.615,102.27909413255804,109.47517748826776,-7.196083355709718,17.516538765007567,0.250517000836055,102.46222222222222,109.4006486391489,103.45645142228084,5.944197216868058,12.935811798927812,0.2222139134265588,5.152777777777772,-7.121554506590854,6.018726065986925,-13.140280572577776,4.580726966079755,0.0283030874094961
20200203_BOS_at_ATL,2020-02-03,2020,ATL,BOS,115,123,0,-8,"Jabari Parker, DeAndre' Bembry, Cam Reddish, Alex Len, De'Andre Hunter, Chandler Parsons",Home,13,51,0.26,50.0,-465,-9.14,0,1,0,0,0.3333333333333333,0.1923076923076923,0.4,0.5,-7.8,-1,2020-02-01,2.0,0.4,-7.8,0.0,-11.8,0.4515492249744109,0.6875,0.8,0.5652173913043478,7.166666666666667,3,0.8,0.6,8.0,0.8,8.0,1.0,11.8,0.4213242055648543,2.0,48.0,-0.4666666666666667,-0.3729096989966555,0.0,-4,-0.4,-15.8,-0.0999999999999999,-0.4,-15.8,-1.0,-23.6,0.0302250194095566,106.6288,102.38818625099844,110.80246476444697,-8.414278513448515,15.596229031707702,0.2136741714329567,102.205,110.04627042677632,103.0140876659028,7.032182760873539,13.532547720443324,0.2359800985497099,4.4238,-7.658084175777873,7.78837709854416,-15.446461274322054,2.0636813112643786,-0.0223059271167531
20210224_BOS_at_ATL,2021-02-24,2021,ATL,BOS,127,112,1,15,"Cam Reddish, De'Andre Hunter, Kris Dunn, Bogdan Bogdanović",Home,14,32,0.4193548387096774,31.0,17,0.064516129032258,1,1,0,0,0.4375,0.4,0.4,0.3,-1.6,-1,2021-02-23,1.0,0.4,-1.6,0.2,-4.0,0.3182216894729518,0.4838709677419355,0.6153846153846154,0.3888888888888889,0.9032258064516128,-2,0.4,0.3,1.8,0.4,1.8,0.8,4.0,0.3019905451790365,1.0,31.0,-0.1778846153846154,0.0111111111111111,0.0,1,0.0,-3.4000000000000004,0.0,0.0,-3.4000000000000004,-0.6000000000000001,-8.0,0.0162311442939153,102.15096774193547,110.82322263612494,110.82502264588952,-0.0018000097646126,13.781605671196214,0.2444541548391125,101.03290322580644,109.50842188510104,108.8382170877724,0.6702047973286374,14.245160343350202,0.2491863368052508,1.1180645161290386,1.3148007510238957,1.986805558117112,-0.67200480709325,-0.4635546721539878,-0.0047321819661382
