Away_Abbr,Home_Abbr,Odds_Away,Odds_Home
IND,ATL,2.25,1.38
PHI,CHO,1.96,1.5
ORL,CLE,2.35,1.33
POR,BOS,2.95,1.2
LAL,CHI,1.7,1.73
MEM,HOU,3.3,1.15
GSW,MIN,2.7,1.25
