Away_Abbr,Home_Abbr,Odds_Away,Odds_Home
CLE,ATL,1.32,2.4
PHI,BRK,1.26,2.6
CHI,CHO,1.56,1.88
ORL,DET,2.07,1.45
WAS,IND,2.55,1.28
MIL,NYK,2.85,1.22
PHO,OKC,,
SAS,DEN,2.85,1.22
SAC,UTA,1.85,1.6
DAL,LAL,3.4,1.13
MEM,LAC,2.5,1.3
