Away_Abbr,Home_Abbr,Odds_Away,Odds_Home
WAS,CHO,3.4,1.13
NYK,PHI,1.72,1.72
GSW,MIN,2.4,1.32
CLE,ORL,1.78,1.65
BOS,CHI,1.75,1.68
LAL,DAL,1.45,2.07
MIA,UTA,1.3,2.5
