Away_Abbr,Home_Abbr,Odds_Away,Odds_Home
NYK,BRK,1.02,5.0
GSW,DET,2.3,1.35
ATL,HOU,2.0,1.48
BOS,MEM,,
POR,MIN,1.93,1.53
TOR,DEN,2.55,1.28
