Away_Abbr,Home_Abbr,Odds_Away,Odds_Home
SAS,NYK,1.63,1.8
CLE,BRK,1.12,3.5
MIL,CHI,1.48,2.0
MIN,DEN,1.96,1.5
MEM,IND,1.7,1.73
POR,ATL,2.35,1.33
DET,ORL,1.36,2.28
PHI,BOS,2.95,1.2
OKC,DAL,,
NOP,LAC,2.85,1.22
SAC,LAL,,
