Away_Abbr,Home_Abbr,Odds_Away,Odds_Home
MIA,TOR,2.15,1.42
CHI,WAS,1.28,2.55
IND,BRK,1.46,2.05
BOS,NYK,2.15,1.42
PHI,HOU,2.07,1.45
LAL,GSW,2.2,1.4
